cycle,layer_name,layer_type,layer_power_including_idle_power_micro_watt,layer_power_excluding_idle_power_micro_watt,layer_run_time
15903,_classifer_fc1,Linear,,,0.024480000138282776
15903,_classifer_fc2,Linear,,,0.0163199994713068
15903,_classifer_fc3,Linear,,,0.012575999833643436
15904,_feat_conv1,Conv2d,,,0.06617599725723267
15904,_feat_conv2,Conv2d,,,0.07110399752855301
15904,_classifer_fc1,Linear,,,0.02457600086927414
15904,_classifer_fc2,Linear,,,0.0161920003592968
15904,_classifer_fc3,Linear,,,0.016575999557971954
15905,_feat_conv1,Conv2d,,,0.06864000111818314
15905,_feat_conv2,Conv2d,,,0.0676800012588501
15905,_classifer_fc1,Linear,,,0.024607999250292778
15905,_classifer_fc2,Linear,,,0.016224000602960587
15905,_classifer_fc3,Linear,,,0.012512000277638435
15906,_feat_conv1,Conv2d,,,0.07023999840021133
15906,_feat_conv2,Conv2d,,,0.07769600301980972
15906,_classifer_fc1,Linear,,,0.024159999564290047
15906,_classifer_fc2,Linear,,,0.016287999227643013
15906,_classifer_fc3,Linear,,,0.01648000068962574
15907,_feat_conv1,Conv2d,,,0.06854400038719177
15907,_feat_conv2,Conv2d,,,0.06943999975919724
15907,_classifer_fc1,Linear,,,0.02396799996495247
15907,_classifer_fc2,Linear,,,0.016127999871969223
15907,_classifer_fc3,Linear,,,0.012671999633312225
15908,_feat_conv1,Conv2d,,,0.06956800073385239
15908,_feat_conv2,Conv2d,,,0.0708480030298233
15908,_classifer_fc1,Linear,,,0.0244159996509552
15908,_classifer_fc2,Linear,,,0.01616000011563301
15908,_classifer_fc3,Linear,,,0.016448000445961952
15909,_feat_conv1,Conv2d,,,0.06892800331115723
15909,_feat_conv2,Conv2d,,,0.07292799651622772
15909,_classifer_fc1,Linear,,,0.024351999163627625
15909,_classifer_fc2,Linear,,,0.01616000011563301
15909,_classifer_fc3,Linear,,,0.012703999876976013
15910,_feat_conv1,Conv2d,,,0.06838399916887283
15910,_feat_conv2,Conv2d,,,0.07004799693822861
15910,_classifer_fc1,Linear,,,0.024191999807953835
15910,_classifer_fc2,Linear,,,0.016224000602960587
15910,_classifer_fc3,Linear,,,0.01648000068962574
15911,_feat_conv1,Conv2d,,,0.06838399916887283
15911,_feat_conv2,Conv2d,,,0.07027199864387512
15911,_classifer_fc1,Linear,,,0.024320000782608986
15911,_classifer_fc2,Linear,7142784.0,2960460.201034292,0.016224000602960587
15911,_classifer_fc3,Linear,,,0.01651199907064438
15912,_feat_conv1,Conv2d,,,0.06870400160551071
15912,_feat_conv2,Conv2d,,,0.07516799867153168
15912,_classifer_fc1,Linear,,,0.024191999807953835
15912,_classifer_fc2,Linear,,,0.016383999958634377
15912,_classifer_fc3,Linear,,,0.016416000202298164
15913,_feat_conv1,Conv2d,,,0.06630399823188782
15913,_feat_conv2,Conv2d,,,0.07094399631023407
15913,_classifer_fc1,Linear,,,0.024032000452280045
15913,_classifer_fc2,Linear,,,0.016256000846624374
15913,_classifer_fc3,Linear,,,0.01616000011563301
15914,_feat_conv1,Conv2d,,,0.06771200150251389
15914,_feat_conv2,Conv2d,,,0.06908799707889557
15914,_classifer_fc1,Linear,,,0.024224000051617622
15914,_classifer_fc2,Linear,,,0.01616000011563301
15914,_classifer_fc3,Linear,,,0.012608000077307224
15915,_feat_conv1,Conv2d,,,0.06675200164318085
15915,_feat_conv2,Conv2d,,,0.07846400141716003
15915,_classifer_fc1,Linear,,,0.024032000452280045
15915,_classifer_fc2,Linear,,,0.01616000011563301
15915,_classifer_fc3,Linear,,,0.016575999557971954
15916,_feat_conv1,Conv2d,,,0.06876800209283829
15916,_feat_conv2,Conv2d,,,0.07123199850320816
15916,_classifer_fc1,Linear,,,0.024480000138282776
15916,_classifer_fc2,Linear,,,0.016063999384641647
15916,_classifer_fc3,Linear,,,0.012640000320971012
15917,_feat_conv1,Conv2d,,,0.06681600213050842
15917,_feat_conv2,Conv2d,,,0.07872000336647034
15917,_classifer_fc1,Linear,,,0.02393599972128868
15917,_classifer_fc2,Linear,,,0.016287999227643013
15917,_classifer_fc3,Linear,,,0.016575999557971954
15918,_feat_conv1,Conv2d,,,0.06844799965620041
15918,_feat_conv2,Conv2d,,,0.06966400146484375
15918,_classifer_fc1,Linear,,,0.024607999250292778
15918,_classifer_fc2,Linear,,,0.01616000011563301
15918,_classifer_fc3,Linear,,,0.012575999833643436
15919,_feat_conv1,Conv2d,,,0.06969600170850754
15919,_feat_conv2,Conv2d,,,0.07807999849319458
15919,_classifer_fc1,Linear,,,0.024064000695943832
15919,_classifer_fc2,Linear,,,0.0163199994713068
15919,_classifer_fc3,Linear,,,0.01651199907064438
15920,_feat_conv1,Conv2d,,,0.06940799951553345
15920,_feat_conv2,Conv2d,,,0.07280000299215317
15920,_classifer_fc1,Linear,,,0.02377600036561489
15920,_classifer_fc2,Linear,,,0.01616000011563301
15920,_classifer_fc3,Linear,,,0.012608000077307224
15921,_feat_conv1,Conv2d,,,0.0684799998998642
15921,_feat_conv2,Conv2d,,,0.06956800073385239
15921,_classifer_fc1,Linear,,,0.024064000695943832
15921,_classifer_fc2,Linear,,,0.016224000602960587
15921,_classifer_fc3,Linear,,,0.01664000004529953
15922,_feat_conv1,Conv2d,,,0.06828799843788147
15922,_feat_conv2,Conv2d,7102656.0,2920332.201034292,0.0740479975938797
15922,_classifer_fc1,Linear,,,0.024191999807953835
15922,_classifer_fc2,Linear,,,0.016095999628305435
15922,_classifer_fc3,Linear,,,0.01664000004529953
15923,_feat_conv1,Conv2d,,,0.06924799829721451
15923,_feat_conv2,Conv2d,,,0.07833600044250488
15923,_classifer_fc1,Linear,,,0.024064000695943832
15923,_classifer_fc2,Linear,,,0.016287999227643013
15923,_classifer_fc3,Linear,,,0.016543999314308167
15924,_feat_conv1,Conv2d,,,0.06931199878454208
15924,_feat_conv2,Conv2d,,,0.06924799829721451
15924,_classifer_fc1,Linear,,,0.0244159996509552
15924,_classifer_fc2,Linear,,,0.0161920003592968
15924,_classifer_fc3,Linear,,,0.016127999871969223
15925,_feat_conv1,Conv2d,,,0.06860800087451935
15925,_feat_conv2,Conv2d,,,0.07436800003051758
15925,_classifer_fc1,Linear,,,0.024224000051617622
15925,_classifer_fc2,Linear,,,0.016256000846624374
15925,_classifer_fc3,Linear,,,0.016672000288963318
15926,_feat_conv1,Conv2d,7102656.0,2920332.201034292,0.06876800209283829
15926,_feat_conv2,Conv2d,,,0.07827199995517731
15926,_classifer_fc1,Linear,,,0.024224000051617622
15926,_classifer_fc2,Linear,,,0.016095999628305435
15926,_classifer_fc3,Linear,,,0.012640000320971012
15927,_feat_conv1,Conv2d,,,0.06966400146484375
15927,_feat_conv2,Conv2d,,,0.07833600044250488
15927,_classifer_fc1,Linear,,,0.024064000695943832
